domain,top_domain,traffic,primary_country_code,primary_country_share
ppomppu.co.kr,ppomppu.co.kr,44756344,KR,0.98699545
championat.com,championat.com,44267849,RU,0.7940595
okdiario.com,okdiario.com,43932805,ES,0.88546372
veja.abril.com.br,abril.com.br,43790380,BR,0.94482464
cumhuriyet.com.tr,cumhuriyet.com.tr,43670844,TR,0.85962309
sportiva.shueisha.co.jp,shueisha.co.jp,43508476,US,0.20905115
yr.no,yr.no,43107382,NO,0.25042133
bt.dk,bt.dk,42581657,DK,0.97131901
eluniversal.com.mx,eluniversal.com.mx,42536357,MX,0.87912884
nrk.no,nrk.no,42522333,NO,0.91682143
terra.com.br,terra.com.br,42347766,BR,0.96025283
softonic.com,softonic.com,42252931,IN,0.21660057
tomsguide.com,tomsguide.com,42052197,US,0.62202148
pagesix.com,pagesix.com,42029072,US,0.82002355
cnblogs.com,cnblogs.com,42008510,CN,0.93107351
climatempo.com.br,climatempo.com.br,41885935,BR,0.98953603
bhaskar.com,bhaskar.com,41786916,IN,0.95998791
eltiempo.com,eltiempo.com,41782034,CO,0.7887863
24.sapo.pt,sapo.pt,41723913,PT,0.83676037
mlb.com,mlb.com,41298840,US,0.86682171
weathernews.jp,weathernews.jp,40917488,JP,0.993651
metoffice.gov.uk,metoffice.gov.uk,40889895,GB,0.95686746
c.newsnow.co.uk,newsnow.co.uk,40505358,GB,0.68860495
premierleague.com,premierleague.com,40480474,GB,0.25114807
fanpage.it,fanpage.it,40406400,IT,0.96374317
cordopolis.eldiario.es,eldiario.es,40327060,ES,0.91028419
techradar.com,techradar.com,40128235,US,0.37078125
5.nbryb.com,nbryb.com,40086102,US,0.24927819
sport.pl,sport.pl,40032709,PL,0.80380116
footmercato.net,footmercato.net,39930352,FR,0.69349078
insider.com,insider.com,39897503,US,0.72842777
si.com,si.com,39890501,US,0.84856676
bengali.news18.com,news18.com,39710351,IN,0.8830141
blic.rs,blic.rs,39630594,RS,0.81046633
kp.ru,kp.ru,39282303,RU,0.80345546
20minutes.fr,20minutes.fr,39235450,FR,0.91555823
epaper.thehindu.com,thehindu.com,39231619,IN,0.87144606
sport.tvp.pl,tvp.pl,39113173,PL,0.90723703
24sata.hr,24sata.hr,38663199,HR,0.86253582
habr.com,habr.com,38657186,RU,0.74939697
news.sanook.com,sanook.com,38490161,TH,0.96760549
esportes.r7.com,r7.com,38307202,BR,0.95794146
portal.auone.jp,auone.jp,38167304,JP,0.94703118
memurlar.net,memurlar.net,38143214,TR,0.99419076
nhc.noaa.gov,noaa.gov,37872035,US,0.84709678
es.motorsport.com,motorsport.com,37802931,NL,0.20454954
aajtak.in,aajtak.in,37754722,IN,0.94689456
newsweek.com,newsweek.com,37645597,US,0.77494393
bunshun.jp,bunshun.jp,37626495,JP,0.98438295
spi.yomiuri.co.jp,yomiuri.co.jp,37579760,JP,0.9830298
rtve.es,rtve.es,37482941,ES,0.79797786
btsd.schoology.com,schoology.com,37401138,US,0.77427518
i.stuff.co.nz,stuff.co.nz,37058579,NZ,0.86953787
idokep.hu,idokep.hu,36834054,HU,0.98362494
larazon.es,larazon.es,36826144,ES,0.85777897
bourse.boursorama.com,boursorama.com,36680489,FR,0.89718569
mako.co.il,mako.co.il,36608130,IL,0.89123304
xataka.com,xataka.com,36410250,ES,0.48652682
play.tycsports.com,tycsports.com,36322917,AR,0.65344047
telex.hu,telex.hu,36055119,HU,0.85958158
cnbcindonesia.com,cnbcindonesia.com,36043684,ID,0.98322791
dantri.com.vn,dantri.com.vn,36011877,VN,0.94367242
wetteronline.de,wetteronline.de,36009978,DE,0.91017134
coingecko.com,coingecko.com,35916230,US,0.12928587
chinatimes.com,chinatimes.com,35886309,TW,0.8054093
theverge.com,theverge.com,35792866,US,0.60875312
fivethirtyeight.com,fivethirtyeight.com,35658658,US,0.78621279
id.soccerway.com,soccerway.com,35576801,ZA,0.20827142
news.walla.co.il,walla.co.il,35466113,IL,0.90146749
